,Unnamed: 0,tweet_id,date,text,user,preproc
0,0,1532148597231329281,2022-06-01 23:54:26+00:00,"@ibiapina_ju Pra mim, liberou. Não sou do Javascript... aqui é C/C++, Python, Java, GO Lang, Shell Script. Então, deve ser aleatório! Kkkkk kkkkk kkkkk kkkkk kkkkk",WillianBR,ibiapina_ju pra mim liberar javascript c c python java go lang shell script aleatório kkkkk kkkkk kkkkk kkkkk kkkkk
1,1,1532148392406786048,2022-06-01 23:53:37+00:00,// tenho um hc muito foda em que o Python ficou viciado em Paula Pimenta por culpa da Agatha e do Kyler,PythonMamba1,hc foder python ficar viciar paula pimenta culpar agatha kyler
2,2,1532146808729788416,2022-06-01 23:47:19+00:00,minha linguagem de amor é python e java,Kaiocidral,linguagem amor python java
3,3,1532146770423209989,2022-06-01 23:47:10+00:00,"// mt foda cenar com o Kyler e com o Python ao mesmo tempo

de um lado temos o Kyler, hiperativo e extrovertidasso, conversando cm geral e gritando, cheio de gíria 

e do outro temos o Python, todo fofinho, introvertido e fala formalmente",PythonMamba1,mt foder cenar kyler python kyler hiperativo extrovertidasso conversar cm gritar cheio gírio outro python fofo introverter falir formalmente
4,4,1532145585641377792,2022-06-01 23:42:28+00:00,"@paulaopnions Oloco! Python é a mais fácil de aprender (dizem, simplesmente acreditei). Você trabalha com isso amg?",bi_dickinson,paulaopnions oloco python fácil aprender simplesmente acreditar trabalhar amg
5,5,1532144663469096961,2022-06-01 23:38:48+00:00,O pior de tudo é que eu to achando fácil porque estudei um pouco de Python ano passado (durante um breve surto em que pensei em largar o mestrado) e agora tá vindo a calhar,rafaelhett,mal to achar fácil estudar python ano passar durante surtir pensar largar mestrado tá calhar
6,6,1532143902039453697,2022-06-01 23:35:46+00:00,o diagnóstico é de teoria. questão 1a: como essa equação poderia ser resolvida em python,tepiferreira,diagnóstico teoria equação poder resolvido python
7,7,1532142400461803521,2022-06-01 23:29:48+00:00,"@FelippeRegazio Cara, tem gente que literalmente vive disso. Eu já fui MUITO bom, apesar de não usar praticamente nada de VB, fiz planilhas cabulosas pra resolver n problemas. E eu programo, já fui dev profissional, já programei em C, C++, Python, etc. Tem problemas pros quais Excel é a solução.",carribeiro,felipperegazio caro gente literalmente viver apesar praticamente vb fazer planilhas cabulosas pra resolver n problema programar dev profissional programar c c python etc problema pros excel solução
8,8,1532142375694487552,2022-06-01 23:29:42+00:00,Nunca imaginei que ia fazer prova de Python no papel,petryxxx,imaginar ir provar python papel
9,9,1532141917420539905,2022-06-01 23:27:53+00:00,python eu te odeio eu te odeio,nicotrombeste,python odiar odiar
10,10,1532140504212807681,2022-06-01 23:22:16+00:00,"Vaga de estágio home office na BLU. Conhecimentos básicos de Python e SQL. 🙏

https://t.co/JYAqG0zrXP

cc @sseraphini 
@ViUmaVaga 
#bolhadev",futuro_d3v,vago estágio home office blu conhecimento básico python sql https t co jyaqg zrxp c sseraphini viumavaga bolhadev
11,11,1532136720845705224,2022-06-01 23:07:14+00:00,"@mikaacaroline Uma python não é venenosa, igual a mim, somente linda, invejosa u-u",elfo_jeangolas,mikaacaroline python venenoso igual mim lindo invejoso u u
12,12,1532134489144578050,2022-06-01 22:58:22+00:00,"@mechamoshin Calma. Você quer R ou python? 
Quando for postar alguma dúvida poste utilizando #RStats q ai dão rt.",Takaitakuji,mechamoshin calmo r python postar algum dúvida postar utilizar rstats q ai rt
13,13,1532133344728817672,2022-06-01 22:53:49+00:00,@luzfcb @calalleni @lskbr @dunossauro @fmasanori @PyLadiesBrasil @InspirAdaNaComp Todas as dicas do @luzfcb são bem válidas. Os casos de uso da programação na área de direito tbm. Trabalhei um tempo numa empresa do setor e era por ai que usávamos programação.  Python é uma linguagem mto boa pq dá pra vc usar para fazer bastante coisa interessante. (1),Lidy_Monteiro,luzfcb calalleni lskbr dunossauro fmasanori pyladiesbrasil inspiradanacomp dica luzfcb válido caso usar programação direito tbm trabalhar empresar setor ai usar programação python linguagem mto pq pra vc interessante
14,14,1532131232091455489,2022-06-01 22:45:26+00:00,"comecei a me envolver com drogas pesadas…

…curso de programação em python",taveirao,começar envolver drogar pesar cursar programação python
15,15,1532129940229042176,2022-06-01 22:40:18+00:00,"acabei de começar em HTML e css, por enquanto eu tô amando, será q eu vou pirar igual foi nos meses finais do meu aprendizado em python?",Wosn027,acabar começar html css tô amar ser q ir pirar igual finar aprendizado python
16,16,1532128504195821569,2022-06-01 22:34:35+00:00,"Perfil do @rochacbruno, que é um grande contribuir com ferramentas e plugins para Python (Dynaconf, python-project-template), além de ajudar em conferências e criação de conteúdo na área

https://t.co/9JTpHtUBpf",cmaiacd,perfil rochacbruno contribuir ferramenta plugins python dynaconf python project template ajudar conferência criação conteúdo https t co jtphtubpf
17,17,1532127918436061188,2022-06-01 22:32:15+00:00,"Daqui a pouco vamos conversar com o Macca, baixista do Detonautas, que é mó fã de cultura pop e de Monty Python tbm!!
No canal do Monty Python Brasil. Entra lá!!

Link nos comentários https://t.co/tuYSSZVc6V",andartolo,daqui ir conversar macca baixista detonautas mó fã cultura pop monty python tbm canal monty python brasil entrar link comentário https t co tuysszvc v
